event_label,wape,mae,rmse,smape,bias,n
holiday,0.21433511158756732,99563.84260512651,197431.22213188047,0.2791626062847833,38131.22677349629,320
navidad,0.12188806268984856,57717.16060269005,94379.25556023791,0.13117511815807564,-10795.851978764253,1040
payday,0.126696035508785,60979.26542682853,107111.9969655329,0.1216064180928217,16824.538362913892,400
regular,0.11490053593566989,38904.24086336913,60152.891613350715,0.12235428178172518,-9350.358522217617,3438
weekend,0.19236387144635309,128556.59123543704,348386.37070994964,0.1449826962224887,62951.18802360659,2079
