region,wape,mae,rmse,smape,bias,n
Centro,0.14597825510408988,68638.2124994128,170178.01908367398,0.13423633827954884,11769.287626218027,1092
Norte,0.15555818304875071,73489.71050849096,199293.0137518181,0.13776338275602826,16815.902511977794,1544
Occidente,0.15924236658759472,76237.72467388917,238504.29649761427,0.13775815106292147,21093.288103996823,1820
Oriente,0.14459943415526372,60521.47156467485,151324.37560670127,0.13461659715961158,5244.493118022149,1638
Sur,0.15492801455640445,76916.35308032267,219724.01572981678,0.14028335155219557,17444.65723883785,1183
