category,wape,mae,rmse,smape,bias,n
Abarrotes,0.23531202058408565,321.33387539542747,524.4327718661699,0.23680067373928643,-73.98081683659365,7277
Bebidas,0.2386848870576127,254.3497594672538,394.6234484009059,0.24285937601595156,-101.74580403672026,7277
Cuidado_Personal,0.257406001891817,175.58481555981027,272.21780534176594,0.25384107199954653,-91.87212067942494,7277
Electronica,0.2920585537589806,66.73331260861188,104.27340954498565,0.2796255109207329,-42.13842232086472,7277
Hogar,0.2599468761271281,137.76027051367373,216.1988222784553,0.2562732055595372,-76.31623266647375,7277
Ropa,0.26719413732346214,100.954000927132,157.77938668534733,0.2615429871969425,-59.019109652648794,7277
