region,wape,mae,rmse,smape,bias,n
Centro,0.24585186600593553,182.00689060550127,314.3570879502338,0.25368601368650834,-80.03788477671507,6552
Norte,0.2477663278244963,182.42116826917692,333.4334996347493,0.2539103225051554,-72.10521248776969,9264
Occidente,0.2501885626147413,179.76973829906674,324.2314257117821,0.25599743914466316,-68.49470229624933,10920
Oriente,0.24920837166556384,162.57004669136188,275.21293382980707,0.25514451421282414,-79.35939486219932,9828
Sur,0.24951551247751338,175.60436343345583,315.04314987915507,0.2568670935705163,-73.04810316145321,7098
