event_label,wape,mae,rmse,smape,bias,n
holiday,0.3874079277253449,276.9627701299456,445.0885512059085,0.4790739318903282,98.86807650412352,1920
navidad,0.28585937954196444,205.58085779618213,318.97481275562495,0.2930907455363094,-87.74322703346171,6240
payday,0.20193705426874609,148.3421186614281,263.45213606806414,0.2039420237248815,-48.66124327582911,2400
regular,0.24608332848076986,126.64811872941337,203.26988402836017,0.23963698354519422,-75.22165754728134,20628
weekend,0.22921876511871755,233.092312339395,424.0868993804545,0.23723902413250172,-96.61673613872689,12474
